title,link,source,date,snippet,thumbnail
,,,,,
本地｜李家超祝市民中秋節快樂 人月兩團圓,https://hk.finance.yahoo.com/news/%E6%9C%AC%E5%9C%B0-%E6%9D%8E%E5%AE%B6%E8%B6%85%E7%A5%9D%E5%B8%82%E6%B0%91%E4%B8%AD%E7%A7%8B%E7%AF%80%E5%BF%AB%E6%A8%82-%E4%BA%BA%E6%9C%88%E5%85%A9%E5%9C%98%E5%9C%93-050917999.html,"{'name': 'Yahoo 財經', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://hk.finance.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","10/06/2025, 05:09 AM, +0000 UTC",,https://s.yimg.com/ny/api/res/1.2/tzBt7nUJA.ZwvW1_PhyZkw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTY0MDtoPTMzNQ--/https://media.zenfs.com/en/fortune_insight_694/dbddec0f78d2a1ab4bc25a6950c04ffb
中秋節逢年度大潮澎湖低窪水位一度達警戒| 地方,https://www.cna.com.tw/news/aloc/202510060075.aspx,"{'name': '中央社 CNA', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cna.com.tw&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","10/06/2025, 04:44 AM, +0000 UTC",,https://imgcdn.cna.com.tw/www/WebPhotos/800/20251006/1431x768_wmky_0_C20251006000037.jpg
8旬嬤秋節前夕大迷途！烏日警4hrs搜50公里外　Google街景助團圓,https://www.ettoday.net/news/20251006/3045662.htm,"{'name': 'ETtoday新聞雲', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.ettoday.net&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","10/06/2025, 04:53 AM, +0000 UTC",,https://cdn2.ettoday.net/images/8432/e8432756.jpg
,,,,,
,,,,,
,,,,,
,,,,,
CZ趙長鵬向社群送出中秋節祝福，征集最有創意「中秋 meme」,https://www.blocktempo.com/cz-is-collecting-mid-autumn-festival-memes-from-the-community/,"{'name': '動區動趨', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.blocktempo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","10/06/2025, 03:18 AM, +0000 UTC",,https://image.blocktempo.com/2025/10/bfbdcdd9c0d587b7d485ae693187b573-1.jpg
中秋節伙房音樂會 五溝水在地企業家饋鄉里,https://www.hakkatv.org.tw/news-detail/1759637410902664,"{'name': 'hakkatv.org.tw', 'icon': 'https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.hakkatv.org.tw&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","10/05/2025, 07:01 AM, +0000 UTC",,https://i.ytimg.com/vi/Hx3nsxUOzXw/mqdefault.jpg
中秋節開運日來了！這4生肖旺翻天 12禁忌別踩雷,https://tw.news.yahoo.com/%E4%B8%AD%E7%A7%8B%E7%AF%80%E9%96%8B%E9%81%8B%E6%97%A5%E4%BE%86%E4%BA%86-%E9%80%994%E7%94%9F%E8%82%96%E6%97%BA%E7%BF%BB%E5%A4%A9-12%E7%A6%81%E5%BF%8C%E5%88%A5%E8%B8%A9%E9%9B%B7-043840739.html,"{'name': '奇摩新聞', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://tw.news.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","10/06/2025, 04:38 AM, +0000 UTC",,https://s.yimg.com/ny/api/res/1.2/YOqIi81zTox_Oi5vzNaeHA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTY0MDtoPTM2MA--/https://media.zenfs.com/it/innews_com_tw_7/4c2763ea078e5b10981c73b914376c75
2025「中秋節」遇「天赦日」！10/6是大吉日4步驟能改運，錯過這天要再等62年,https://www.elle.com/tw/life/hot-news/g68142181/moon-festival-pray/,"{'name': 'ELLE', 'icon': 'https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.elle.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","10/06/2025, 03:35 AM, +0000 UTC",,"https://hips.hearstapps.com/hmg-prod/images/100101-68dcf908da6ce.png?crop=0.497xw:0.993xh;0.503xw,0.00680xh&resize=640:*"
2025中秋節連假有垃圾車嗎？全台垃圾車清運時間總整理,https://www.businessweekly.com.tw/style/blog/3019636,"{'name': '商周', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.businessweekly.com.tw&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","10/06/2025, 12:17 AM, +0000 UTC",,https://ibw.bwnet.com.tw/ac_gallery/2025/10/a038f181-e8d4-446e-c6b9-c13604cc9d9b_620.jpg
2025中秋巧逢天赦日！解析中秋十大禁忌+習俗、祈福招財重點,https://www.harpersbazaar.com/tw/life/relationship/a65929658/moon-festival-taboo/,"{'name': ""Harper's BAZAAR"", 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.harpersbazaar.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","10/06/2025, 01:28 AM, +0000 UTC",,"https://hips.hearstapps.com/hmg-prod/images/traditional-chinese-lanterns-decoration-in-mid-royalty-free-image-1759308717.pjpeg?crop=0.650xw:0.975xh;0.215xw,0.0250xh&resize=640:*"
114年中秋節連假第2日蘇花路廊全線順暢,https://www.thb.gov.tw/News_Content_Table.aspx?n=7839&s=282591,"{'name': 'thb.gov.tw', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.thb.gov.tw&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","10/05/2025, 11:22 PM, +0000 UTC",,https://ws.thb.gov.tw/001/Upload/462/relpic/13366/282591/034bb709-9214-42d3-bbdb-dbae6d81e525.jpg
