title,link,source,date,snippet,thumbnail
「2025雙十節煙火」在南投！南投煙火活動亮點、煙火時間、最佳觀賞地點、交通路線一次看！,https://www.cosmopolitan.com/tw/lifestyle/hot-topics/g66010143/national-day-20250930/,"{'name': 'Cosmopolitan', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.cosmopolitan.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","09/30/2025, 07:00 AM, +0000 UTC",,"https://hips.hearstapps.com/hmg-prod/images/colorful-fireworks-celebration-royalty-free-image-1757386281.pjpeg?crop=0.670xw:1.00xh;0.180xw,0&resize=640:*"
2025雙十煙火在「南投」！10年來最盛大、施放40分鐘，璀璨花火與河岸交織出絕美勝景,https://www.elle.com/tw/life/travel/g68164924/2025-national-day-fireworks/,"{'name': 'ELLE', 'icon': 'https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.elle.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","10/03/2025, 06:45 AM, +0000 UTC",,"https://hips.hearstapps.com/hmg-prod/images/collage-68df6bdf1d4cf.png?crop=0.486xw:0.973xh;0.00680xw,0.0170xh&resize=640:*"
2025全台10月連假活動推薦！國慶煙火、爵士音樂節、萬聖節氛圍遍布全台！,https://travel.yam.com/article/138474,"{'name': '輕旅行', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://travel.yam.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","10/03/2025, 07:00 AM, +0000 UTC",,https://ytimg.yam.com/images/article/202509/2419304165.png
連假倒垃圾注意了！1縣市中秋、雙十節「停止沿街垃圾車清運」， 一鍵查詢家裡附近定時定點收運,https://www.storm.mg/lifestyle/11072184,"{'name': '風傳媒', 'icon': 'https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.storm.mg&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","10/06/2025, 12:30 AM, +0000 UTC",,https://images.storm.mg/cloud/a0197a6a447f4d4e1b3c1c9582bd87506a33b388.webp?url=s3%3A%2F%2Fnew-storm-public-resource%2Fgallery%2F1371872%2F20180821-113039_U4040_M444903_e762.jpg&g=sm&h=675&resize=fill&w=1200&wm_opacity=1&wm_position=soea&wm_scale=0.2&wm_x=26&wm_y=26&wmu=https://image.cache.storm.mg/logo/logo_white.svg
2025行事曆最後3個月連假攻略！中秋節、雙十節「週休3日新體驗」：還能請3連休9天,https://www.businesstoday.com.tw/article/category/183030/post/202509230001/,"{'name': '今周刊', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.businesstoday.com.tw&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","10/03/2025, 07:00 AM, +0000 UTC",,https://doqvf81n9htmm.cloudfront.net/data/crop_article/178676/image%20(17)_20250613222536_20250923000915.jpg_1140x855_1140x855.jpg
溫哥華雙十國慶洋溢濃濃台加原民風| 政治,https://www.cna.com.tw/news/aipl/202510060060.aspx,"{'name': '中央社 CNA', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cna.com.tw&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","10/06/2025, 03:47 AM, +0000 UTC",,https://imgcdn.cna.com.tw/www/WebPhotos/800/20251006/1024x768_wmky_0_C20251006000031.jpg
【中秋節、國慶連假優惠總整理】麥當勞買一送一、走馬瀨農場遠雄海洋公園12歲以下免門票、萊爾富咖啡買一送一！,https://tw.news.yahoo.com/%E3%80%90%E4%B8%AD%E7%A7%8B%E7%AF%80%E3%80%81%E5%9C%8B%E6%85%B6%E9%80%A3%E5%81%87%E5%84%AA%E6%83%A0%E7%B8%BD%E6%95%B4%E7%90%86%E3%80%91%E9%BA%A5%E7%95%B6%E5%8B%9E%E8%B2%B7%E4%B8%80%E9%80%81%E4%B8%80%E3%80%81%E8%B5%B0%E9%A6%AC%E7%80%A8%E8%BE%B2%E5%A0%B4%E9%81%A0%E9%9B%84%E6%B5%B7%E6%B4%8B%E5%85%AC%E5%9C%9212%E6%AD%B2%E4%BB%A5%E4%B8%8B%E5%85%8D%E9%96%80%E7%A5%A8%E3%80%81%E8%90%8A%E7%88%BE%E5%AF%8C%E5%92%96%E5%95%A1%E8%B2%B7%E4%B8%80%E9%80%81%E4%B8%80%EF%BC%81-084723606.html,"{'name': '奇摩新聞', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://tw.news.yahoo.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","10/01/2025, 07:00 AM, +0000 UTC",,https://s.yimg.com/ny/api/res/1.2/QsblNQeRNcGl.69WIrCDDA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTY0MDtoPTQyNQ--/https://s.yimg.com/os/creatr-uploaded-images/2025-09/ede27cf0-991d-11f0-9f7d-689511da44bd
旗耀台中 全城飄揚 中市1.6萬面國旗迎雙十節,https://www.ksnews.com.tw/e/35035,"{'name': '更生新聞網', 'icon': 'https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.ksnews.com.tw&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","10/04/2025, 07:43 AM, +0000 UTC",,https://www.ksnews.com.tw/wp-content/uploads/2025/10/www.ksnews.com.tw---1.61---1.61.jpg
2025雙十國慶煙火在南投！施放時間、地點場次、交通接駁等資訊搶先看,https://www.harpersbazaar.com/tw/life/trips/a65813140/2025-national-day-fireworks-in-nantou/,"{'name': ""Harper's BAZAAR"", 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.harpersbazaar.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['珊妮·特賽']}","09/17/2025, 07:00 AM, +0000 UTC",,"https://hips.hearstapps.com/hmg-prod/images/%E5%8D%97%E6%8A%95%E7%B8%A3%E6%94%BF%E5%BA%9C-68a3e18118ea2.jpg?crop=0.499xw:0.997xh;0,0.00345xh&resize=640:*"
全台遊樂園連假瘋起來！發票對對樂學生免費玩,https://www.cardu.com.tw/news/detail.php?59105,"{'name': '卡優新聞網', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.cardu.com.tw&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","10/02/2025, 08:46 PM, +0000 UTC",,https://imgcloud.cardu.com.tw/201910/20251002/Cardu_68de969473e82.jpg
